app_name,avg_sentiment
Adventure Chronicles: The Search For Lost Treasure,-0.415
Adventure Park,-1.0
Adventure Time: Magic Man's Head Games,0.616
Adventure World,-0.599
Adventure in the Tower of Flight,0.227
Adventures Of Fluzz,0.331
Adventures of Bertram Fiddle: Episode 1: A Dreadly Business,0.447
Adventures of Robinson Crusoe,-0.6
Adventures of Shuggy,0.22
Adventurezator: When Pigs Fly,0.164
AdvertCity,-0.367
Aegis,-0.002
Aegis of Earth: Protonovus Assault,-0.461
Aeon Command,0.363
Aerannis,0.197
Aero's Quest,-0.245
Aerofly FS 1 Flight Simulator,-0.399
Affairs of the Court: Choice of Romance,0.4
Affected Zone Tactics,-0.419
After All,-0.787
Afterlife Empire,-0.407
Agarest Zero,-0.204
Agarest: Generations of War,0.373
Agarest: Generations of War 2,0.194
Age of Barbarian Extended Cut,0.242
Age of Booty,0.399
Age of Castles: Warlords,-0.788
Age of Cavemen,-0.2
Age of Conan: Unchained,-0.216
Age of Conquest IV,0.202
Age of Empires II (2013),0.596
Age of Empires® III (2007),0.421
Age of Enigma: The Secret of the Sixth Ghost,-0.605
Age of Fear 2: The Chaos Lord GOLD,0.168
Age of Gladiators,0.201
Age of Mythology: Extended Edition,0.195
Age of Steel: Recharge,-0.459
Age of Wonders,0.734
Age of Wonders 2: The Wizard's Throne,0.186
Age of Wonders III,-0.001
Age of Wonders: Shadow Magic,0.433
Agent Awesome,-0.601
Agent Walker: Secret Journey,-0.754
Aggression: Europe Under Fire,-0.356
Agricultural Simulator 2011: Extended Edition,-0.402
Agricultural Simulator 2012: Deluxe Edition,-1.0
Agricultural Simulator 2013 Steam Edition,-0.8
Agricultural Simulator: Historical Farming,-0.198
Ahnayro: The Dream World,0.796
Air Brawl,-0.426
Air Conflicts - Secret Wars,-0.594
Air Conflicts: Vietnam,-0.601
Air Forte ,-0.427
Air Guardians,-0.393
AirBuccaneers,-0.202
Airline Director 2 - Tycoon Game,-0.598
Airline Tycoon 2,-0.599
Airline Tycoon Deluxe,-0.565
Airport Fire Department - The Simulation,-1.0
Airport Firefighters - The Simulation,-0.766
Airport Madness 3D,0.161
Airport Madness 4,0.412
Airport Madness: Time Machine,0.579
Airport Madness: World Edition,0.402
Airport Simulator 2014,-0.796
Airport Simulator 2015,-0.207
Airscape: The Fall of Gravity,0.56
Airship Dragoon,-0.551
Airstrike HD,-0.618
Akane the Kunoichi,-0.794
Akaneiro: Demon Hunters,-0.61
Akin,0.005
Akuatica,0.378
Al Emmo and the Lost Dutchman's Mine,-0.37
Al Emmo's Postcards from Anozira,-0.425
Alan Wake,0.6
Alan Wake's American Nightmare,-0.225
Albedo: Eyes from Outer Space,-0.395
Albert and Otto: The Adventure Begins,-0.161
Albino Lullaby: Episode 1,0.799
Alcatraz Builder,-0.407
Alchemist Penguin,0.717
Alchemy Mysteries: Prague Legends,-0.594
Alea Jacta Est,-0.003
Alekhine's Gun,-0.225
Alex Hunter - Lord of the Mind,0.798
Alexia Crow,-0.612
Alganon,-0.735
Alice in Wonderland,0.004
Alice's Mom's Rescue,0.395
Alice's Patchwork,0.555
Alice's Patchworks 2,-1.0
Alice: Madness Returns,0.392
Alicemare,0.194
Alien Attack,0.347
Alien Blitz,-0.001
Alien Breed 2: Assault,-0.6
Alien Breed 3: Descent,-0.581
Alien Breed: Impact,-0.572
Alien Carnage / Halloween Harry,-0.199
Alien Hallway,0.002
Alien Invasion Tower Defense,-0.999
Alien Rage - Unlimited,0.224
Alien Robot Monsters,0.236
Alien Shooter,-0.062
Alien Shooter 2 Conscription,-0.594
Alien Shooter: Revisited,-0.374
Alien Spidy,-0.533
Alien Swarm,0.719
Alien: Isolation,0.194
Aliens versus Predator Classic 2000,0.399
Aliens vs. Predator,0.6
Aliens: Colonial Marines,0.181
All Aspect Warfare,-0.785
All Is Dust,-0.4
All My Gods,0.245
Allods Online,-0.002
Allods Online RU,-0.252
Allumette,0.795
Almightree: The Last Dreamer,-0.003
Alone K.W.,-0.801
Alone in the Dark,-0.755
Alone in the Dark: Illumination,-0.744
Alone in the Dark: The New Nightmare,0.009
Along the Edge,0.966
Alpha Kimori™ Episode One ,-0.173
Alpha Polaris : A Horror Adventure Game,-0.191
Alpha Prime,-0.353
Alpha Protocol,0.406
Alpha Runner,0.536
Alpha Zylon,-0.354
Alphabeats: Master Edition,0.338
Alphadia Genesis,0.742
Alteil: Horizons,-0.402
Alter Ego,-0.041
Alter World,0.384
Alteric,0.441
AlternativA,-0.58
Altitude,0.391
AltspaceVR,0.62
Alum,0.165
Always Remember Me,-0.231
Always Sometimes Monsters,0.371
Amaranthine,0.391
Amazing Adventures Around the World,-0.136
Amazing Adventures: The Lost Tomb,0.027
Amazing Princess Sarah,-0.047
