app_name,avg_sentiment
Age of Empires II (2013),0.674
Age of Empires® III (2007),0.571
Age of Enigma: The Secret of the Sixth Ghost,-0.671
Age of Fear 2: The Chaos Lord GOLD,0.372
Age of Gladiators,0.286
Age of Mythology: Extended Edition,0.235
Age of Steel: Recharge,-0.239
Age of Wonders,0.532
Age of Wonders 2: The Wizard's Throne,0.301
Age of Wonders III,0.457
Age of Wonders: Shadow Magic,0.454
Agent Awesome,-0.186
Agent Walker: Secret Journey,-0.754
Aggression: Europe Under Fire,-0.299
Agricultural Simulator 2011: Extended Edition,-0.328
Agricultural Simulator 2012: Deluxe Edition,-1.0
Agricultural Simulator 2013 Steam Edition,-0.738
Agricultural Simulator: Historical Farming,-0.678
Ahnayro: The Dream World,0.815
Air Brawl,-0.01
Air Conflicts - Secret Wars,-0.258
Air Conflicts: Vietnam,-0.793
Air Forte ,-0.159
Air Guardians,-0.423
AirBuccaneers,-0.326
Airline Director 2 - Tycoon Game,-0.627
Airline Tycoon 2,-0.859
Airline Tycoon Deluxe,-0.048
Airport Fire Department - The Simulation,-1.0
Airport Firefighters - The Simulation,-0.67
Airport Madness 3D,0.289
Airport Madness 4,0.288
Airport Madness: Time Machine,0.375
Airport Madness: World Edition,0.23
Airport Simulator 2014,-0.587
Airport Simulator 2015,-0.548
Airscape: The Fall of Gravity,0.394
Airship Dragoon,-0.284
Airstrike HD,-0.396
Akane the Kunoichi,-0.187
Akaneiro: Demon Hunters,-0.64
Akin,0.093
Akuatica,0.224
Al Emmo and the Lost Dutchman's Mine,0.131
Al Emmo's Postcards from Anozira,-0.351
Alan Wake,0.553
Alan Wake's American Nightmare,-0.233
Albedo: Eyes from Outer Space,-0.475
Albert and Otto: The Adventure Begins,-0.141
Albino Lullaby: Episode 1,0.278
Alcatraz Builder,-0.164
Alchemist Penguin,0.717
Alchemy Mysteries: Prague Legends,-0.059
Alea Jacta Est,0.194
Alekhine's Gun,-0.227
Alex Hunter - Lord of the Mind,0.425
Alexia Crow,-0.387
Alganon,-0.478
Alice in Wonderland,0.002
Alice's Mom's Rescue,0.055
Alice's Patchwork,0.451
Alice's Patchworks 2,-1.0
Alice: Madness Returns,0.362
Alicemare,0.194
Alien Attack,0.055
Alien Blitz,-0.001
Alien Breed 2: Assault,-0.362
Alien Breed 3: Descent,-0.352
Alien Breed: Impact,-0.157
Alien Carnage / Halloween Harry,-0.285
Alien Hallway,-0.163
Alien Invasion Tower Defense,-0.999
Alien Rage - Unlimited,0.094
Alien Robot Monsters,0.411
Alien Shooter,0.207
Alien Shooter 2 Conscription,-0.198
Alien Shooter: Revisited,-0.323
Alien Spidy,-0.379
Alien Swarm,0.513
Alien: Isolation,0.244
Aliens versus Predator Classic 2000,0.435
Aliens vs. Predator,0.131
Aliens: Colonial Marines,-0.503
All Aspect Warfare,-0.785
All Is Dust,-0.581
All My Gods,0.089
Allods Online,-0.242
Allods Online RU,-0.103
Allumette,0.766
Almightree: The Last Dreamer,-0.001
Alone K.W.,-0.873
Alone in the Dark,-0.656
Alone in the Dark: Illumination,-0.665
Alone in the Dark: The New Nightmare,-0.193
Along the Edge,0.749
Alpha Kimori™ Episode One ,-0.084
Alpha Polaris : A Horror Adventure Game,0.183
Alpha Prime,-0.413
Alpha Protocol,0.234
Alpha Runner,0.254
Alpha Zylon,-0.093
Alphabeats: Master Edition,0.338
Alphadia Genesis,0.469
Alteil: Horizons,-0.323
Alter Ego,-0.287
Alter World,0.034
Alteric,0.359
AlternativA,-0.491
Altitude,0.525
AltspaceVR,0.472
Alum,0.075
Always Remember Me,-0.295
Always Sometimes Monsters,0.07
Amaranthine,0.285
Amazing Adventures Around the World,-0.175
Amazing Adventures: The Lost Tomb,-0.218
Amazing Princess Sarah,0.02
Ame no Marginal -Rain Marginal-,0.349
Amelia Earhart,-1.0
America's Army 3,-0.139
America's Army: Proving Grounds,0.134
American Conquest,0.031
American Conquest - Fight Back,0.021
American Powerhaul Train Simulator,-0.338
American Truck Simulator,0.411
Amerzone: The Explorer's Legacy,-0.153
Amigdala,0.015
Amihailu in Dreamland,0.076
Amnesia: A Machine for Pigs,-0.274
Amnesia: The Dark Descent,0.514
Amnesia™: Memories,0.49
Among Ripples,-0.057
Among the Heavens,0.021
Among the Sleep,0.091
Amphora,0.355
Ampu-Tea,-0.313
Amulet of Dreams,-0.54
Amygdala,-0.208
An Assassin in Orlandes,0.493
An Imp? A Fiend!,-0.127
An Octave Higher,0.526
Anachronox,0.122
Analogue: A Hate Story,0.372
Anarcute,0.511
Ancestory,-0.296
Ancient Planet,0.245
